// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (34.3)
// Firmware Version: 2.1.4
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	StatusWord	ClippingFlags	RSSI	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Pressure	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Latitude	Longitude	Altitude	Vel_X	Vel_Y	Vel_Z	Temperature	GyrTemp_X	GyrTemp_Y	GyrTemp_Z	TrigIn1_Polarity	TrigIn1_Timestamp	TrigIn1_FrameNumber	TrigIn2_Polarity	TrigIn2_Timestamp	TrigIn2_FrameNumber	
23921	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.305171	-0.213301	10.327155	0.024844	0.004220	0.521147	0.006104	0.000191	-0.004578	0.157959	0.026367	-0.682861	0.003052	-0.002136	0.103271	0.999999	0.000031	0.000001	-0.000023	100268.0000	0.998050	-0.056198	0.027155	0.056782	0.998161	-0.021216	-0.025913	0.022717	0.999406	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
23922	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.262990	-0.237461	10.327132	-0.020513	-0.017108	0.520487	0.000000	-0.012207	-0.003052	0.163086	0.028809	-0.680664	0.002624	-0.002375	0.103271	0.999999	0.000000	-0.000061	-0.000015	100258.0000	0.998045	-0.056226	0.027278	0.056812	0.998159	-0.021215	-0.026035	0.022724	0.999403	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
23923	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.274723	-0.195948	10.333238	-0.006057	0.025691	0.526025	-0.012207	-0.001335	0.003815	0.160400	0.028809	-0.677490	0.002747	-0.001953	0.103333	0.999999	-0.000061	-0.000007	0.000019	100258.0000	0.998047	-0.056188	0.027290	0.056777	0.998159	-0.021338	-0.026041	0.022846	0.999400	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
23924	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.274683	-0.196905	10.308739	-0.005230	0.024300	0.501561	-0.004959	0.001335	0.001526	0.160645	0.026367	-0.680176	0.002748	-0.001966	0.103087	1.000000	-0.000025	0.000007	0.000008	100262.0000	0.998048	-0.056173	0.027277	0.056763	0.998159	-0.021388	-0.026025	0.022895	0.999399	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
23925	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.299333	-0.207999	10.321028	0.017636	0.013351	0.514751	-0.009155	-0.005150	0.004578	0.160400	0.026367	-0.674561	0.002991	-0.002075	0.103210	0.999999	-0.000046	-0.000026	0.000023	100262.0000	0.998050	-0.056126	0.027327	0.056720	0.998159	-0.021481	-0.026071	0.022989	0.999396	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
23926	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.281717	-0.196416	10.314832	-0.000318	0.025509	0.507829	-0.000954	-0.009346	0.003624	0.163086	0.026367	-0.677490	0.002812	-0.001964	0.103148	1.000000	-0.000005	-0.000047	0.000018	100270.0000	0.998049	-0.056087	0.027420	0.056684	0.998161	-0.021492	-0.026164	0.023004	0.999393	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
23927	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.317214	-0.207837	10.357665	0.034376	0.013944	0.551851	-0.006104	0.003242	0.000763	0.157715	0.028809	-0.677490	0.003174	-0.002075	0.103577	0.999999	-0.000031	0.000016	0.000004	100270.0000	0.998051	-0.056080	0.027387	0.056678	0.998160	-0.021553	-0.026128	0.023063	0.999393	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
23928	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.298960	-0.220766	10.357555	0.014497	0.002912	0.551522	-0.007248	-0.005150	-0.002480	0.163086	0.028809	-0.680664	0.002987	-0.002204	0.103576	1.000000	-0.000036	-0.000026	-0.000012	100268.0000	0.998048	-0.056104	0.027439	0.056705	0.998157	-0.021625	-0.026175	0.023138	0.999390	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
23929	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.287189	-0.207667	10.333240	0.003431	0.016195	0.526615	-0.002289	-0.006676	0.020599	0.157959	0.028809	-0.680176	0.002869	-0.002075	0.103333	0.999999	-0.000011	-0.000033	0.000103	100268.0000	0.998058	-0.055897	0.027501	0.056500	0.998168	-0.021653	-0.026241	0.023165	0.999387	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
23930	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.275500	-0.214168	10.351457	-0.009547	0.011151	0.544639	-0.003242	-0.005150	-0.003242	0.157959	0.024170	-0.677002	0.002752	-0.002140	0.103515	1.000000	-0.000016	-0.000026	-0.000016	100250.0000	0.998055	-0.055928	0.027554	0.056532	0.998165	-0.021685	-0.026290	0.023200	0.999385	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
